Sensor_data:0.00,0.00,1.08,1.04,0.98,-0.24,-0.62,
Sensor_data:0.01,-0.08,0.93,0.98,1.04,-0.37,-0.59,
Sensor_data:-0.04,0.08,0.90,-2.26,1.40,-0.61,-0.75,
Sensor_data:0.04,0.08,0.96,-0.31,1.16,-0.49,-0.78,
Sensor_data:-0.02,-0.12,1.25,0.92,1.10,-0.24,0.12,
Sensor_data:-0.04,0.06,0.93,1.04,1.10,-0.49,1.25,
Sensor_data:0.01,0.18,0.99,1.16,1.04,-0.61,0.22,
Sensor_data:-0.01,0.12,0.93,0.18,1.04,-1.46,-0.81,
Sensor_data:-0.01,0.02,1.11,1.04,1.10,-1.53,-0.62,
Sensor_data:-0.01,0.04,0.96,1.53,0.98,-1.59,-0.59,
Sensor_data:-0.01,-0.03,1.01,2.50,0.92,-1.77,0.18,
Sensor_data:-0.01,0.03,0.96,-15.08,0.98,-2.32,0.83,
Sensor_data:0.03,0.03,1.01,-0.06,1.28,-2.20,0.83,
Sensor_data:0.00,-0.04,1.07,1.04,1.16,-2.01,0.70,
Sensor_data:0.00,-0.07,0.99,2.01,0.98,-1.95,0.80,
Sensor_data:-0.02,-0.11,1.05,0.92,0.85,-1.83,0.67,
Sensor_data:-0.00,-0.01,1.01,-2.26,1.16,-1.53,0.86,
Sensor_data:0.00,-0.03,0.82,1.71,0.92,-1.71,0.83,
Sensor_data:0.01,-0.11,1.12,1.77,0.98,-1.22,-0.11,
Sensor_data:0.01,-0.06,0.98,-0.12,1.10,-0.98,-0.91,
Sensor_data:-0.00,-0.06,1.04,-0.24,0.92,-0.73,0.02,
Sensor_data:-0.00,0.00,0.99,-1.28,1.28,-0.67,0.76,
Sensor_data:-0.02,-0.06,1.01,0.43,1.10,-0.55,0.73,
Sensor_data:0.01,-0.04,1.07,1.34,1.22,-0.31,-0.01,
Sensor_data:-0.02,-0.07,1.08,0.73,0.92,-0.06,-0.69,
Sensor_data:0.01,0.02,0.99,-0.67,1.10,-0.24,-0.62,
Sensor_data:0.01,0.07,0.94,-0.73,1.22,-0.31,-0.59,
Sensor_data:0.02,-0.08,0.95,-0.12,1.22,-0.31,-0.56,
Sensor_data:0.05,0.01,1.21,0.06,1.22,-0.37,-0.52,
Sensor_data:0.02,0.13,1.16,-0.61,1.16,-0.31,-0.01,
Sensor_data:-0.02,0.15,0.97,-1.10,0.92,-0.43,0.99,
Sensor_data:-0.05,0.06,1.06,1.04,1.28,-0.61,0.22,
Sensor_data:-0.04,0.07,0.96,2.38,1.04,-0.79,-0.75,
Sensor_data:0.00,0.08,1.00,1.10,0.85,-1.28,-0.85,
Sensor_data:0.00,0.07,0.95,0.43,1.16,-1.71,0.22,
Sensor_data:-0.02,0.02,0.99,-0.49,1.10,-1.77,1.02,
Sensor_data:-0.01,0.00,1.01,0.98,1.10,-1.95,0.80,
Sensor_data:-0.00,-0.02,1.04,1.95,0.98,-2.32,1.05,
Sensor_data:0.02,0.01,1.01,0.18,1.10,-2.20,0.93,
Sensor_data:-0.00,-0.01,0.93,-0.61,1.22,-2.14,0.60,
Sensor_data:-0.01,-0.10,1.13,-0.55,1.10,-1.89,0.70,
Sensor_data:-0.01,-0.15,1.07,1.89,0.98,-1.71,0.35,
Sensor_data:0.01,-0.08,1.09,2.14,0.92,-1.65,0.12,
Sensor_data:0.05,0.03,0.97,-1.10,1.22,-1.65,-0.88,
Sensor_data:-0.02,-0.11,0.89,0.92,0.85,-1.16,-0.91,
Sensor_data:0.06,-0.01,0.99,0.31,1.28,-0.92,0.06,
Sensor_data:0.02,-0.09,1.07,1.22,0.79,-0.61,1.05,
Sensor_data:0.01,-0.06,1.08,-0.85,0.85,-0.61,-0.07,
Sensor_data:-0.00,0.05,0.92,-1.16,1.04,-0.24,-0.81,
Sensor_data:0.00,0.02,1.00,-0.31,1.40,-0.18,-0.72,
Sensor_data:0.00,0.06,0.92,0.92,1.04,0.12,0.06,
Sensor_data:0.01,-0.04,1.08,1.77,1.04,-0.06,0.38,
Sensor_data:-0.00,0.05,0.96,-1.53,1.16,-0.61,0.83,
Sensor_data:-0.00,0.04,1.14,-2.44,1.46,-0.61,0.70,
Sensor_data:0.04,0.10,0.87,-0.12,1.34,-0.79,0.76,
Sensor_data:0.00,0.01,1.09,1.65,1.04,-0.31,1.05,
Sensor_data:-0.01,0.16,0.85,0.92,1.22,-0.49,0.06,
Sensor_data:-0.01,0.14,0.99,0.31,1.16,-0.55,-1.01,
Sensor_data:-0.02,0.10,1.03,0.06,1.10,-0.98,0.02,
Sensor_data:-0.03,0.05,1.00,1.34,0.92,-1.34,0.96,
Sensor_data:-0.01,0.00,1.06,1.95,0.79,-1.59,0.93,
Sensor_data:-0.02,0.01,1.03,0.49,0.92,-1.89,0.18,
Sensor_data:-0.02,0.02,0.98,-0.43,1.16,-2.20,0.15,
Sensor_data:0.02,0.04,1.01,0.00,1.22,-2.32,-0.81,
Sensor_data:0.01,-0.06,1.05,1.46,0.98,-2.14,-0.56,
Sensor_data:0.01,-0.07,1.03,1.89,0.92,-1.95,-0.52,
Sensor_data:0.02,0.02,1.01,-1.40,1.16,-1.77,-0.69,
Sensor_data:-0.03,-0.08,1.03,0.12,1.04,-1.59,-0.75,
Sensor_data:0.01,-0.05,1.01,0.92,1.22,-1.59,-0.69,
Sensor_data:0.01,-0.01,0.73,1.89,0.98,-1.53,0.02,
Sensor_data:-0.00,-0.10,0.90,-1.65,1.22,-1.10,0.83,
Sensor_data:-0.01,-0.04,1.02,0.06,1.10,-0.98,0.06,
Sensor_data:0.01,-0.04,1.00,0.06,1.16,-0.79,-0.91,
Sensor_data:-0.00,-0.03,1.04,0.24,0.85,-0.55,-0.81,
Sensor_data:-0.02,-0.09,1.07,0.73,0.79,-0.61,-0.14,
Sensor_data:0.01,0.05,1.00,-0.61,1.16,0.12,0.80,
Sensor_data:-0.01,-0.02,1.03,-0.67,1.28,-0.06,0.89,
Sensor_data:0.00,0.02,1.05,-0.49,1.22,-0.31,0.15,
Sensor_data:0.01,0.04,0.94,1.22,1.04,-0.37,0.09,
Sensor_data:0.05,-0.03,1.20,-2.14,1.10,-0.43,0.06,
Sensor_data:-0.00,0.08,0.87,-0.92,0.92,-0.49,-0.69,
Sensor_data:0.03,0.04,1.16,-0.43,1.34,-0.37,-0.81,
Sensor_data:-0.01,0.14,0.95,0.31,1.16,-0.49,0.22,
Sensor_data:-0.03,0.06,1.00,2.38,1.04,-0.61,1.18,
Sensor_data:-0.02,0.06,1.00,-0.18,0.85,-1.28,0.70,
Sensor_data:-0.01,0.10,0.99,0.67,0.98,-1.53,-0.91,
Sensor_data:0.01,0.09,0.97,0.49,1.04,-1.65,-0.65,
Sensor_data:-0.03,0.00,1.01,0.98,1.10,-1.83,-0.59,
Sensor_data:-0.01,-0.03,1.00,2.81,0.79,-2.14,0.22,
Sensor_data:-0.01,-0.05,1.06,-1.10,1.04,-2.14,0.18,
Sensor_data:0.03,0.03,0.97,-0.24,1.16,-2.08,0.64,
Sensor_data:0.02,-0.01,0.97,0.92,1.22,-2.01,0.64,
Sensor_data:-0.01,-0.13,1.09,1.71,1.04,-1.83,0.83,
Sensor_data:0.02,-0.07,1.04,-1.28,0.98,-1.71,0.64,
Sensor_data:-0.01,-0.05,1.06,-2.14,0.98,-1.46,0.99,
Sensor_data:0.06,-0.00,1.02,1.16,0.98,-1.59,-0.11,
Sensor_data:-0.02,-0.10,0.86,1.40,0.92,-1.04,-1.10,
Sensor_data:0.02,-0.08,1.07,-0.43,1.34,-0.98,-0.88,
Sensor_data:0.00,-0.00,0.91,-0.55,0.92,-0.67,0.99,
Sensor_data:0.01,-0.04,1.10,-1.34,0.98,-0.55,0.99,
Sensor_data:0.00,0.06,0.89,-0.37,1.16,-0.43,0.09,
Sensor_data:0.01,0.03,0.97,1.46,1.16,-0.18,-0.72,
Sensor_data:-0.00,0.04,0.89,0.06,1.04,-0.12,-0.65,
Sensor_data:-0.01,-0.03,1.08,-0.92,1.04,-0.31,-0.59,
Sensor_data:0.02,-0.08,0.94,-1.16,1.28,-0.43,-0.27,
Sensor_data:-0.01,-0.06,1.13,-1.10,1.22,-0.43,-0.49,
Sensor_data:0.03,-0.04,1.03,1.28,0.61,-0.37,-0.20,
Sensor_data:-0.04,0.01,1.09,-1.22,1.10,-0.31,1.22,
Sensor_data:-0.03,0.09,0.92,-0.79,1.10,-0.43,1.18,
Sensor_data:-0.00,0.09,1.01,1.28,1.16,-0.67,0.09,
Sensor_data:0.00,0.11,0.96,0.79,0.98,-1.16,-0.78,
Sensor_data:-0.01,0.02,1.02,1.46,0.73,-1.59,-0.33,
Sensor_data:-0.03,0.05,0.97,-0.49,1.04,-1.71,0.12,
Sensor_data:-0.02,0.01,1.02,-0.06,1.28,-1.83,0.93,
Sensor_data:-0.01,0.01,0.99,0.61,1.04,-2.01,0.89,
Sensor_data:0.02,-0.06,1.04,1.53,0.98,-2.20,1.02,
Sensor_data:-0.01,-0.05,1.01,0.37,1.10,-2.08,0.57,
Sensor_data:-0.01,-0.03,0.99,-0.92,1.28,-1.89,-0.04,
Sensor_data:-0.04,-0.06,1.08,-0.37,1.22,-1.83,0.09,
Sensor_data:0.02,-0.11,0.97,2.75,1.04,-1.77,-0.11,
Sensor_data:0.02,-0.04,0.87,-0.73,0.85,-1.46,-0.01,
Sensor_data:0.05,-0.03,1.33,-1.46,1.10,-1.34,-1.07,
